municipio,estado,area,populacao,dens_demografica,domicilios,renda_media,renda_nominal,pea_dia,populacao_trabalha,quantidade,dom_f_renda_a2mais_40mais,dom_f_renda_a2mais_34a40,dom_f_renda_a2mais_30a34,dom_f_renda_a2mais_28a30,dom_f_renda_a2mais,dom_f_renda_amais_21a28,dom_f_renda_amais_16a21,dom_f_renda_amais,dom_f_renda_b1_13a16,dom_f_renda_b1_11a13,dom_f_renda_b1_8a11,dom_f_renda_b1,dom_f_renda_b2_5a8,dom_f_renda_4a5,dom_f_renda_b2,dom_f_renda_c1_2a4,dom_f_renda_c1,dom_f_renda_c2_1a2,dom_f_renda_c2,dom_f_renda_d_1a1,dom_f_renda_d,dom_f_renda_e_ate1,dom_f_renda_e,renda_nominal_f_a2mais,renda_nominal_f_a,renda_nominal_f_b1,renda_nominal_f_b2,renda_nominal_f_c1,renda_nominal_f_c2,renda_nominal_f_d,renda_nominal_f_e,pop_f_etaria_ate4,pop_f_etaria_5a9,pop_f_etaria_ate9,pop_f_etaria_10a14,pop_f_etaria_15a19,pop_f_etaria_20a24,pop_f_etaria_25a29,pop_f_etaria_30a34,pop_f_etaria_25a34,pop_f_etaria_35a39,pop_f_etaria_40a44,pop_f_etaria_45a49,pop_f_etaria_35a49,pop_f_etaria_50a54,pop_f_etaria_55a59,pop_f_etaria_50a59,pop_f_etaria_60a64,pop_f_etaria_65a69,pop_f_etaria_70a74,pop_f_etaria_75a79,pop_f_etaria_80mais,pop_f_etaria_60mais,pop_homem,pop_mulher,instru_sem_inst_ou_fund_incompleto,instru_fund_completo_med_incompleto,instru_med_completo_sup_incompleto,instru_sup_completo,instru_n_determinado,domicilios_t_casa,domicilios_t_vila_condomnio,domicilios_t_apartamento,domicilios_t_outrotipo,domicilios_c_ocupa_proprio_aquis,domicilios_c_ocupa_proprio_quitado,domicilios_c_ocupa_proprio,domicilios_c_ocupa_alugado,domicilios_c_ocupa_ced_empregador,domicilios_c_ocupa_ced_outros,domicilios_c_ocupa_ced,domicilios_c_ocupa_outros,dom_n_moradores_1,dom_n_moradores_2,dom_n_moradores_3,dom_n_moradores_4,dom_n_moradores_5mais,f_pea_dia_20mais,f_pea_dia_15a20,f_pea_dia_9a15,f_pea_dia_5a10,f_pea_dia_3a5,f_pea_dia_2a3,f_pea_dia_1a2,f_pea_dia_ate1,f_pop_trabalha_20mais,f_pop_trabalha_15a20,f_pop_trabalha_10a15,f_pop_trabalha_5a10,f_pop_trabalha_3a5,f_pop_trabalha_2a3,f_pop_trabalha_1a2,f_pop_trabalha_ate1,pot_cons_a,pot_cons_b1,pot_cons_b2,pot_cons_c1,pot_cons_c2,pot_cons_de,domicliosportipo,pot_cons_a_brinq_jogos,pot_cons_b1_brinq_jogos,pot_cons_b2_brinq_jogos,pot_cons_c1_brinq_jogos,pot_cons_c2_brinq_jogos,pot_cons_de_brinq_jogos,pot_cons_a_cel_acess,pot_cons_b1_cel_acess,pot_cons_b2_cel_acess,pot_cons_c1_cel_acess,pot_cons_c2_cel_acess,pot_cons_de_cel_acess,pot_cons_a_outros_recrea_cultura,pot_cons_b1_outros_recrea_cultura,pot_cons_b2_outros_recrea_cultura,pot_cons_c1_outros_recrea_cultura,pot_cons_c2_outros_recrea_cultura,pot_cons_de_outros_recrea_cultura,pot_cons_a_period_livros_rev,pot_cons_b1_period_livros_rev,pot_cons_b2_period_livros_rev,pot_cons_c1_period_livros_rev,pot_cons_c2_period_livros_rev,pot_cons_de_period_livros_rev,pot_cons_a_rec_esport,pot_cons_b1_rec_esport,pot_cons_b2_rec_esport,pot_cons_c1_rec_esport,pot_cons_c2_rec_esport,pot_cons_de_rec_esport,pot_cons_a_recrea_cultura,pot_cons_b1_recrea_cultura,pot_cons_b2_recrea_cultura,pot_cons_c1_recrea_cultura,pot_cons_c2_recrea_cultura,pot_cons_de_recrea_cultura,pot_cons_a_eletrod_equip,pot_cons_b1_eletrod_equip,pot_cons_b2_eletrod_equip,pot_cons_c1_eletrod_equip,pot_cons_c2_eletrod_equip,pot_cons_de_eletrod_equip,pot_cons_a_instru_prod_upessoal,pot_cons_b1_instru_prod_upessoal,pot_cons_b2_instru_prod_upessoal,pot_cons_c1_instru_prod_upessoal,pot_cons_c2_instru_prod_upessoal,pot_cons_de_instru_prod_upessoal,pot_cons_a_perfume,pot_cons_b1_perfume,pot_cons_b2_perfume,pot_cons_c1_perfume,pot_cons_c2_perfume,pot_cons_de_perfume,pot_cons_a_prod_cabelo,pot_cons_b1_prod_cabelo,pot_cons_b2_prod_cabelo,pot_cons_c1_prod_cabelo,pot_cons_c2_prod_cabelo,pot_cons_de_prod_cabelo,pot_cons_a_sabonete,pot_cons_b1_sabonete,pot_cons_b2_sabonete,pot_cons_c1_sabonete,pot_cons_c2_sabonete,pot_cons_de_sabonete,pot_cons_a_hig_cuidado_pess,pot_cons_b1_hig_cuidado_pess,pot_cons_b2_hig_cuidado_pess,pot_cons_c1_hig_cuidado_pess,pot_cons_c2_hig_cuidado_pess,pot_cons_de_hig_cuidado_pess,codigo_loja
São Paulo,SP,"114,71633","1407,94907","8388,11927","617,5845900000002","24408,562480000004","1,222059529876E7","47784,56","47684,56","116,56","209,94670000000002","123,69367","150,0637","120,02632","260,05039999999997","183,43101000000001","171,42000000000002","240,29101","142,32813","152,04658","176,25268","241,50738","135,14647","133,62912","154,21559","141,93884","141,93884","126,93368000000001","126,93368000000001","115,30507","115,30507","139,26264","139,26264","7604841,45102","2790967,6630100003","1462163,1146","230044,68278","90716,19185","23373,481190000002","1031,06992","18259,56439","159,2937","144,11349","188,84719","134,821","149,16889","217,12646","286,07036000000005","302,74035000000003","474,25071","250,14022","211,1748","176,53479000000002","408,7298","215,61075","196,33083","297,38158","231,74178","136,95453","130,90191000000002","136,15004","162,03517","339,54343","802,74251","719,76655","391,53844","224,79236","376,58275","738,8117","134,46382","126,56","0,0","304,56","0,0","116,56","241,56","243,56","180,56","117,56","118,56","121,56","0,0","174,56","201,56","153,56","130,56","118,56","1454,56","935,56","2048,56","6100,56","7172,56","9928,56","18107,56","2838,56","1441,56","926,56","2022,56","6064,56","7166,56","9922,56","18104,56","2837,56","1,5934659355659E8","2,235754292549E7","3662252,62917","985862,0906900001","208652,02167","298761,92222","316,56","249612,73769","42890,23771","9069,58625","1665,35442","431,31834","203,08153","554545,9912200001","113958,6983","22665,72908","6804,393470000001","1509,97613","247,14778","1413414,93753","85952,69443999999","12397,21984","1746,4207","467,02307","1027,48547","319115,17288","41958,61863","4107,03846","556,0533800000001","180,41334","392,14612","969657,4529700001","110413,27128","15967,8157","2267,24019","777,4484600000001","1053,83478","3505888,05229","394715,28037","63749,149320000004","12581,22216","2907,93934","2465,45568","1271133,2713600001","238795,39177","47589,36229","18430,140750000002","5965,330470000001","6195,20236","1152849,94453","290549,32089000003","69197,64278","24471,233070000002","6138,28639","2424,19433","219838,69786","70117,6883","26457,48236","7961,07878","1426,50172","3241,6407600000002","184567,23703","78336,30045","15811,532419999998","5654,758710000001","1207,04136","583,6241299999999","68262,44109","38399,50337","8670,05906","2829,27486","790,2995799999999","539,7988700000001","1625174,6405","477059,133","119793,03659999999","40572,665409999994","9218,44904","6445,57809",6
São Paulo,SP,"114,68431","3687,99247","28860,89613","1381,4938399999999","24408,562480000004","3,077900844022E7","617,56","505,56","115,56","354,804","137,56436","203,98076","128,32764","480,99677","288,02072","257,76941","431,23014","184,49769","208,9749","269,94115","434,29374","166,40974","162,5881","214,43783000000002","183,51723","183,51723","145,72474","145,72474","116,43655","116,43655","176,77685","176,77685","1,915362308149E7","7029246,5008","3682476,83951","579223,9256900001","228306,72949","58695,22326","2422,91122","45815,14875","235,50286","361,25545999999997","482,19832","212,13334","233,61014","334,08964000000003","253,73327","362,42127","501,59454","361,88196","362,70909","321,82349999999997","817,29456","402,94061","249,80227","538,18287","278,55228999999997","366,20538999999997","339,41625","330,20932","514,6658199999999","1370,80906","1780,28238","2022,2701","1572,22012","722,90428","940,1819399999999","722,0558699999999","188,87026","226,56","0,0","126,56","0,0","121,56","202,56","209,56","137,56","0,0","120,56","120,56","0,0","127,56","149,56","153,56","140,56","127,56","123,56","118,56","132,56","175,56","186,56","229,56","312,56","140,56","119,56","117,56","122,56","148,56","167,56","202,56","296,56","132,56","4,0133525611993E8","5,6310249145220004E7","9223692,700280001","2482849,83764","525343,6847800001","752297,3640800001","238,56","628508,6550200001","107850,75084","22668,975690000003","4020,440470000001","912,35769","337,51315","1396523,3061300002","286846,05007","56912,65614","16963,78867","3629,09972","448,49982","3559698,1206400003","216309,23248","31050,060160000005","4224,616580000001","1002,28476","2413,88331","803559,7125600001","105504,3452","10170,14403","1226,51937","280,42033000000004","813,6972900000001","2442036,31848","277916,42411","40043,07715","5536,369210000001","1784,1320899999998","2480,24753","8829867,872820001","993968,5627100001","160386,67315999998","31513,494300000002","7150,054590000001","6035,6011100000005","3201342,9628","601263,74139","119686,11637999999","46244,76783","14850,497749999999","15429,460439999999","2903430,79042","731612,84354","174109,42314","61460,05627999999","15286,110069999999","5931,678940000001","553518,8054300001","176426,67924","66462,68729999999","19877,0533","3418,8584","7990,52567","464682,97539","197126,33884","39649,45707","14068,281769999998","2866,1185","1295,9599199999998","171753,99424","96540,24359","21662,71372","6951,927720000001","1816,49932","1185,58024","4093042,8854900002","1201362,42521","301540,60124","102013,63907","23043,906290000003","16060,064769999999",52
Rio de Janeiro,RJ,"115,56072","1212,0052699999999","1211,21659","510,51901","7238,47083","2820891,26079","4777,56","4494,56","115,56","118,03776","120,67830000000001","139,14921","0,0","148,74527","121,2418","119,73732","126,41912","120,12422000000001","123,75744","138,32957","153,09124","140,23008","160,18374","185,85383000000002","210,97731","210,97731","191,92507","191,92507","121,83146","121,83146","173,59573","173,59573","1204787,4338200002","264524,41355","420986,55147","401119,96136","327299,01552","148739,61869","9114,510009999998","45121,67638","169,00628","170,13457","224,58085","183,79698000000002","192,58782","183,52005","187,33428","182,33838","255,11266","232,20748","194,477","188,89893","386,46341","182,08285999999998","198,28406","265,80692","178,2405","181,47289","143,54446000000002","126,29566","150,74308","322,05658","614,60004","711,96524","534,7841900000001","316,05523","455,89571","245,13789","118,37226","490,56","120,56","0,0","115,56","0,0","415,56","415,56","157,56","121,56","140,56","147,56","120,56","165,56","190,56","220,56","197,56","196,56","143,56","135,56","175,56","418,56","555,56","869,56","2842,56","438,56","141,56","135,56","174,56","400,56","540,56","812,56","2715,56","375,56","1,834281435845E7","5911506,555029999","5127878,024499999","4004245,33207","1658040,9926200002","485792,19294","497,56","28988,286770000002","3716,37844","2838,1603600000003","1681,09856","958,3371199999999","277,05088","95344,04486","84238,22849","60789,595910000004","59841,17535","22393,0985","3987,44054","197486,08784","25432,77242","13544,102619999998","19103,59599","1594,0303999999999","590,1227799999999","35052,53541","12034,90842","5253,61566","2091,49633","1236,8829199999998","2548,1151999999997","163574,18555999998","35475,87116","25039,80572","11507,0939","4152,536050000001","2998,1781499999997","519986,90044","160439,91892999999","107007,04026","93766,22013","29876,64498","9942,66756","109518,90376","53747,88916","59088,700679999994","63394,27812","25771,26205","10147,46099","120479,73186","64198,47297","92913,40262","85261,4035","32673,524030000004","5497,046960000001","34553,48171","28938,714470000003","24315,47014","21450,66763","11065,81971","6696,23922","28061,507530000003","17041,82146","16612,92807","9543,874819999999","6152,75449","1209,85015","11937,829829999999","6545,08309","8605,56447","7158,11692","4403,90051","505,38707","194688,87093","116380,41198","142103,6853","123070,38287","53952,318739999995","13564,8434",10
Rio de Janeiro,RJ,"114,65193000000001","630,17415","5723,6026","313,87241","11402,71827","2249984,64101","2003,56","1902,56","115,56","0,0","119,86306","0,0","0,0","119,86306","141,799","126,63578","153,87478","124,96309000000001","125,04664","167,61772000000002","188,50745","137,20121","136,09785","158,73906","135,61625","135,61625","128,26863","128,26863","115,41066000000001","115,41066000000001","115,51253","115,51253","197445,71336","907050,6531900001","786778,93189","259485,78406","71567,26342999999","26450,04546","1167,4254899999999","840,74413","127,26476","132,12088","144,82564","142,77115","151,87694","135,40124","137,55578","139,49718000000001","162,49296","187,42331000000001","165,62676","153,78579000000002","277,71586","158,15545","153,32079","196,91624000000002","156,81674","136,26748","125,77945","130,13496","129,33548","220,09411","317,07023000000004","427,66392","342,05674","220,01891","259,13856","148,68382","118,51611","147,56","0,0","243,56","0,0","123,56","201,56","210,56","169,56","121,56","118,56","125,56","0,0","147,56","171,56","150,56","141,56","129,56","125,56","123,56","141,56","253,56","308,56","425,56","1189,56","237,56","125,56","123,56","141,56","233,56","286,56","395,56","1163,56","234,56","1,777451630565E7","1,1344997924630001E7","3177665,3150400002","874563,0973100001","293889,36381999997","13322,318379999999","276,56","28093,71384","7027,0114300000005","1802,3091399999998","456,67104","264,07234","118,97886","92393,62146","161561,00241","37713,40938","13158,05293","4062,18587","219,88103","191371,07445","48704,15906","8436,52212","4261,511160000001","376,71344","127,49269","33970,07843","22991,56808","3299,1082499999998","546,29642","313,42901","180,73931","158509,83909","67978,43217999999","15560,13075","2602,5368399999998","830,0655899999999","192,97854","503880,08726000006","307803,93317","66353,23964","20566,828390000002","5388,226250000001","381,83043","106129,31138","103045,28499","36659,405829999996","13934,002989999999","4660,77656","387,39968","116750,54839","123101,58552","57619,75392","18709,490330000004","5883,81675","260,93402000000003","33486,48654","55432,608739999996","15111,27754","4774,080170000001","2055,05875","293,54544999999996","27195,6483","32600,615240000003","10338,19888","2173,79608","1184,4925199999998","144,34586000000002","11571,51837","12455,73691","5376,2297100000005","1652,7785","874,60589","125,18835","188660,5216","223246,86641","88101,78005","26966,46509","9654,29391","480,33368",71
Rio de Janeiro,RJ,"114,76397","1333,28225","6089,688090000001","561,87783","10680,81337","4726588,0556","3913,56","3727,56","115,56","129,16914","120,38846000000001","120,54506","115,7384","142,16106","144,43148","137,07606","166,94753","134,16264","145,00075","196,81182","246,8552","165,69458","160,81222","211,9468","191,23721","191,23721","146,12642","146,12642","116,68737","116,68737","141,83623","141,83623","1193888,00703","1170259,5541700001","1444674,12001","573842,5450500001","260312,55111","60756,41373","2747,62327","20909,16123","158,62796","173,03554","217,1035","168,23978","175,5398","184,96449","187,16261","169,47910000000002","242,08172000000002","228,26214","235,67531","217,17714","451,9946","240,01328999999998","214,94666","340,39995","193,69711","177,83822","156,07039","148,17468","137,33801","354,87842","692,1667500000001","755,6755","559,01271","317,19840999999997","529,4515200000001","271,29961000000003","0,0","215,56","0,0","273,56","0,0","125,56","318,56","329,56","144,56","124,56","119,56","129,56","0,0","134,56","174,56","199,56","185,56","148,56","143,56","146,56","200,56","465,56","503,56","718,56","2153,56","383,56","143,56","139,56","183,56","397,56","483,56","690,56","2113,56","377,56","3,186516416907E7","2,0296604128849998E7","7004598,808869999","3184455,27495","676580,11107","215485,93451","374,56","50274,17368","12481,236139999999","3834,9764999999998","1360,37159","458,83713","186,61579","165547,80008","288949,2645","82996,17812999999","47612,98197","9204,62789","1831,9699600000001","342989,57814","87043,46519999999","18459,20877","15215,855109999999","718,21209","325,44599","60809,02329","41042,52206","7134,469290000001","1686,74613","572,48912","1193,7081699999999","284077,61531","121525,97778","34162,24809","9174,63112","1762,13111","1393,28639","903239,9505100001","550584,22569","146128,84079000002","74592,3459","12258,05734","4472,786300000001","190172,45113","184262,10202","80672,76873","50438,63639","10582,98293","4563,60095","209213,66834","220143,69564","126877,04347","67828,77213","13399,23724","2501,39756","59942,064170000005","99080,9542","33172,81143","17082,396490000003","4582,8824700000005","3033,17351","48664,16716","58233,52519","22651,20002","7613,35382","2578,25832","600,26107","20654,01624","22193,462030000002","11713,20481","5716,04665","1864,6925999999999","287,87035000000003","338130,23591","399307,95706","194070,57972","97896,8891","22081,390620000002","6079,02249",25
Rio de Janeiro,RJ,"115,36649","1242,163","1512,72823","529,61189","39306,31622","1,626672718056E7","7839,56","7651,56","115,56","360,78673000000003","136,43295","122,60704","115,0359","391,18261","188,2783","135,64209","209,3604","120,22929","120,01205","130,53682","141,65815","116,60547","115,62686000000001","117,67233","116,2591","116,2591","118,36088000000001","118,36088000000001","114,67891","114,67891","122,35951","122,35951","1,369119524398E7","2235008,3439","302592,02761999995","19114,355590000003","5880,32876","7416,38582","261,7389","6060,675990000001","137,78279","147,84808","171,07087","164,32592","169,12876","182,28502","179,32283","175,33629000000002","240,09912","203,14901","192,56828000000002","208,55071","375,148","195,88698","216,72415","298,05113","207,79935","223,57626","157,96280000000002","148,30125","164,57451","443,97418","641,4393","715,2837","357,71338000000003","190,91462","380,13303","642,3658","129,27618","117,56","320,56","123,56","126,56","127,56","316,56","329,56","126,56","0,0","116,56","116,56","115,56","128,56","161,56","169,56","170,56","181,56","376,56","252,56","411,56","1006,56","1027,56","1352,56","3479,56","734,56","300,56","244,56","397,56","979,56","1016,56","1335,56","3446,56","732,56","1,4796386185845E8","4157464,16237","223966,59041","70676,87347","81567,11004","58114,290109999994","344,56","233028,19091","2647,6382399999998","233,45852000000002","142,16614","156,01407","133,9647","768295,4487800001","59276,85207","2763,32297","1167,0851","1209,08611","577,06025","1592237,37673","17920,291790000003","700,8254200000001","449,19201000000004","187,24515","171,35181","281946,2326","8497,87408","338,90499","149,39832","169,69879","405,1757","1318682,65495","24983,378210000003","1202,66925","315,32356000000004","312,94241","458,92232","4193731,66398","112867,7944","4780,941140000001","1764,9251299999999","1576,74654","1288,23477","882638,77135","37833,67926","2689,07055","1229,69923","1375,0524799999998","1312,6912499999999","971055,70105","45183,340809999994","4165,68472","1615,05002","1714,15489","757,3377800000001","277920,55175","20385,942310000002","1171,04845","490,55299","652,5862999999999","900,54558","225552,207","12019,123889999999","834,7946999999999","280,72697","411,21149","245,35979","95488,4869","4637,00287","485,234","238,68424","325,29174","161,23265","1569673,2667","81881,72988","6313,081870000001","2281,3342199999997","2759,56442","1720,7958099999998",80
Rio de Janeiro,RJ,"114,64538","552,0721","5238,804150000001","285,03712","12972,869209999999","2192162,13783","2588,56","2485,56","115,56","134,42436","119,06031","115,61458","0,0","139,97925","120,04359000000001","117,67869","123,16228000000001","123,49184","122,33745","141,37879","158,08808","128,61513","125,26795","139,32308","142,55945","142,55945","133,2637","133,2637","116,49634","116,49634","134,08495","134,08495","1218482,6713100001","195712,21781","482383,42533","147700,28816","95128,45409","36045,99496","2511,1902600000003","14999,8159","128,52081","129,99764","143,95845","129,40638","133,30573","135,80217","152,29543999999999","137,67512","175,41056","144,43922","139,77429","146,40585","201,49936","159,17043999999999","154,58379000000002","199,19423","144,69736","162,47372000000001","129,32085","128,68649","128,4768","235,41522","313,20675","353,42534","303,52758","182,28924","247,50017","157,89268","119,10242","189,56","119,56","192,56","0,0","118,56","225,56","229,56","148,56","0,0","116,56","116,56","121,56","144,56","165,56","157,56","137,56","131,56","133,56","125,56","148,56","281,56","355,56","519,56","1548,56","277,56","128,56","125,56","145,56","264,56","346,56","491,56","1514,56","270,56","1,35532655809E7","6678113,024049999","1781183,6120099998","1162908,36238","400933,07809","157311,28902999999","272,56","21448,931910000003","4183,4727","1060,57093","569,48054","318,55065","167,15257","70478,22533999999","95147,62995","21189,328650000003","17459,08297","5500,595600000001","1368,07491","145949,47817000002","28716,11169","4779,155570000001","5628,948670000001","472,23517999999996","268,48291","25929,71602","13580,77379","1899,5512600000002","688,6594599999999","385,89159","902,21603","120892,47249","40061,628619999996","8772,05446","3422,93542","1090,77676","1047,88554","384240,58392","181231,37675","37242,420869999994","27310,867060000004","7309,8097800000005","3295,57196","80951,82002999999","60703,214929999995","20598,54245","18490,89889","6317,2968","3361,85638","89050,61466","72509,06078","32347,159610000002","24841,080570000002","7985,980259999999","1856,6812899999998","25560,97258","32676,714470000003","8520,464909999999","6310,534890000001","2762,1248100000003","2244,8175499999998","20764,148370000003","19236,99785","5845,07643","2852,81943","1574,34743","469,06681000000003","8850,600129999999","7379,01198","3063,81173","2159,99877","1151,54637","241,05694","143882,65574000002","131458,10507","49432,83268","35820,75366","13130,31887","4467,9426",7
Betim,MG,"115,37691000000001","736,46886","875,8534400000001","266,45952","11651,34831","1752547,17457","666,56","540,56","115,56","122,43236","115,87833","120,80773","116,22330000000001","131,66172","133,2504","145,99421","164,68461","131,85523","131,02403","127,27447000000001","161,03373","123,19027","120,29068000000001","128,92094","126,35889","126,35889","120,01887","120,01887","115,13939","115,13939","120,56136000000001","120,56136000000001","47221,12856","1000734,42287","565593,4986200001","84655,4758","38996,319279999996","10697,576369999999","816,37258","4634,300480000001","142,7153","147,78878","175,94407999999999","144,96834","150,89132","163,46708","159,79958","150,00199","195,24157","157,74173000000002","168,48171","182,27096","279,37440000000004","188,41901000000001","172,31182","246,17083","154,83145000000002","123,72225","116,9124","118,11222000000001","126,99292","182,33124","431,96985","419,05901","348,81083","191,61263000000002","299,92807","234,63774","119,71958000000001","286,56","0,0","125,56","0,0","122,56","273,56","281,56","126,56","117,56","115,56","118,56","0,0","121,56","132,56","160,56","198,56","149,56","127,56","119,56","144,56","164,56","157,56","197,56","387,56","169,56","0,0","115,56","116,56","129,56","146,56","179,56","374,56","165,56","1,190944634333E7","8679715,61751","1630394,4580700002","546362,45329","100246,36179","41848,20527","297,56","16366,24721","17768,10302","3220,3668","871,46966","369,20627","215,10736","25275,79826","57914,51833","12397,966999999999","2405,8291799999997","581,63357","173,46513000000002","225481,56524999999","125325,8152","5602,042060000001","820,28909","197,55257","387,9109","6212,29945","6687,50543","2043,38462","665,3371099999999","207,81025","155,46120000000002","42552,912919999995","51536,11131","10167,271569999999","2352,92722","602,67073","168,34722","315430,5831","258773,81329","32972,79206","6657,612260000001","1500,63339","642,0518200000001","130779,74386999999","63159,43757999999","22913,79148","7919,845890000001","2044,5330600000004","771,4329400000001","66417,22245","137695,49758","45998,38203","10485,633979999999","2762,1545","923,25532","36052,249189999995","15570,127169999998","10468,77804","4085,8844599999998","702,7297699999999","854,57438","12476,97323","23455,40367","13471,89267","3698,90003","1021,51423","311,57983","5596,23034","10884,53055","5442,205370000001","1851,3151399999997","497,83707","241,92419999999998","120198,99521","187261,87897","75037,57812","19778,053610000003","4640,55557","1987,65372",86
Betim,MG,"114,89798","1441,27765","4039,95461","433,24273","2416,04826","733559,1112600002","637,56","444,56","115,56","115,70235","116,01854","114,59807","0,0","117,19897","114,7626","114,84111","115,04372000000001","117,08284","117,16738000000001","118,77433","123,90455","124,39164","122,84700000000001","132,67864","179,52223","179,52223","175,01432","175,01432","127,68599","127,68599","264,11431000000005","264,11431000000005","52231,22517","9844,5124","107067,81956999999","104951,11888","214189,50906","117316,18738","16013,892119999999","112746,76669","195,12504","209,89542","290,46046","202,33429","197,23057","207,61889000000002","213,71386","218,28387","317,43772","264,41232","216,98518","197,14868","449,42618","193,60023999999999","184,4941","263,53434","180,58358","151,85395","156,4514","128,61731","155,88895","315,15520000000004","789,0797600000001","766,7578900000001","752,19967","347,83223","497,51258","183,115","118,85817","482,56","0,0","0,0","123,56","123,56","361,56","370,56","213,56","116,56","133,56","135,56","115,56","161,56","200,56","217,56","203,56","180,56","118,56","115,56","116,56","139,56","161,56","218,56","384,56","184,56","0,0","115,56","115,56","129,56","150,56","184,56","301,56","134,56","553306,35675","1745336,4008900002","2056974,57829","3007642,82223","1109024,31825","1031795,6062800001","491,56","869,45542","3664,1873","4033,03427","4281,948520000001","2934,64041","2600,15179","1283,30656","11736,49389","15612,051430000001","12729,81563","5287,166760000001","1570,7306899999999","10582,92051","25290,99563","7037,900259999999","4000,15882","1033,66131","6871,9603099999995","397,80171","1436,19309","2548,0821499999997","3147,02519","1147,26001","1125,66251","2085,83338","10453,97697","12797,67075","12438,54838","5520,142870000001","1444,21261","14761,077580000001","52123,606869999996","41570,498869999996","36139,25653","15464,63136","13154,47791","6183,99439","12791,098539999999","28879,453530000003","43088,854629999994","21488,049000000003","16352,85787","3194,33724","27778,188270000002","58004,37336","57215,55477","29435,348430000002","20105,99913","1783,87573","3222,23663","13178,069609999999","21979,85355","6628,24679","18408,164630000003","688,79756","4807,7423100000005","16966,981200000002","19849,1971","10158,625699999999","4985,009820000001","369,18512","2280,0959199999998","6836,240590000001","9676,77569","4359,162420000001","3263,08032","5692,51565","37744,58313","94641,98475999999","108377,70112","50237,70334","46418,573899999996",83
Campinas,SP,"115,58519","1603,0596799999998","1566,4790699999999","767,1969799999999","14098,206839999999","9126359,55453","7604,56","7364,56","115,56","124,42331","143,69862","165,06271","138,42901","227,93365","170,4091","196,53208","252,38118","141,32417","128,72894","167,6254","208,55851","137,99224","157,80121","181,23345999999998","215,48770000000002","215,48770000000002","182,73633","182,73633","121,18529000000001","121,18529000000001","179,60085","179,60085","4266652,98392","2912547,9684","1056368,25223","368574,07395","336972,6778","129522,54699999999","8234,53045","48288,44078","218,50173","215,3108","319,25252","187,92058","210,45511","238,92849","222,33624","248,14271000000002","355,91894","218,13166999999999","210,50970999999998","214,99421","414,51559","235,3782","209,92472","330,74292","189,39108","172,31512","159,77862","137,23652","146,76416","347,24550999999997","794,3104799999999","923,3091999999999","600,70245","255,78193","393,76087","689,4058500000001","121,64858000000001","406,56","130,56","0,0","0,0","0,0","387,56","387,56","146,56","115,56","116,56","117,56","0,0","137,56","188,56","196,56","194,56","177,56","186,56","205,56","326,56","881,56","1196,56","1906,56","3300,56","402,56","177,56","180,56","281,56","829,56","1176,56","1872,56","3255,56","392,56","1,5959656581162E8","1,8018723997819997E7","6308682,7094","4341813,08226","1159266,5877","466980,00448","422,56","111595,12995999999","25388,88034","10357,16879","8229,916940000001","1716,88205","520,81664","561832,1087000001","100459,61523","39202,8843","28277,76283","6708,26076","1303,1642699999998","585802,0133400001","64049,22644","15995,608629999999","9686,953249999999","2191,44574","2931,8292699999997","145581,01999","28460,75333","8092,403090000001","2148,1416400000003","447,0384","1240,3483099999999","799108,78277","90840,31546","21300,982320000003","10211,423999999999","6546,621110000001","390,93674","2203460,81476","308740,55081","94490,80713","58095,95866","17152,00806","5928,85523","1126516,52428","272691,81649","105152,86002","91804,44978","27433,93975","12405,36191","1269821,55502","294119,8366","132687,21417","98055,3121","30413,255670000002","19422,2847","639129,80633","97283,45144","57393,08614","36575,723569999995","16464,53093","4910,840910000001","285834,70792","61289,340789999995","31550,548310000002","22928,327220000003","8721,786049999999","3257,00315","128273,68791","29479,63366","13882,591969999998","12466,96659","4723,166990000001","1814,75208","2322716,07719","481828,5825","235169,7606","169682,64949","59979,059649999996","29061,20085",2
